id,bt_network_km,bt_spawning_km,bt_rearing_km,utm_zone,utm_easting,utm_northing,mapsheet,watershed_group_code,pscis_assessment_comment,stream_name,observedspp_upstr,my_priority,my_priority_comments,geom,wsc_code,long,lat
125000,13.4,2.3,5,10,577541,6038215,093I.111,PARS,High priority candidate for restoration. Good habitat.  Surveyed upstream continuosly for 350 m to beaver influenced wetland area where walking became difficult.  Then stream was visited again upstream at 1.6 km upstream from crossing then again at approximately 2.5 km upstream of crossing.  Undercut banks provide areas of deep cover ad Large woody debris is scattered througout. Overhanging vegetationalso provides cover througout.  Pools observed were somewhat shallow but were preseetevery 20 - 30 m or so.  Minnowtrapping conducted upstream and downstream of crossing.  Electrofishing conducted downstream of the crossing.  No fish captured upstream of the culvert. First beaver dam located approximately 330m upstream of the culvert.,Tributary To Parsnip River,NA,NA,NA,"c(-121.803063353279, 54.4856321678425)",236-738000-00000-00000-0000-0000-000-000-000-000-000-000,-121.8030633532793,54.48563216784252
125179,2.6,0,0.9,10,570307,6052836,093I.116,PARS,High priority candidate for restoration with habitat for rearing and overwintering upstream.  Surveyed upstream for 520 m with no barriers to fish passage present.  Bull trout and rainbow recorded upstream. Some deep pools for overwintering and rearing.  Large woody debris and undercut banks throughout. Sections of gravel suitable for spawning.  Good flow.  Surveyed downstream for 360 m. No barriers observed and none likely downstream of surveyed section due to gradients.  Abundant large woody debris and gravels suitable for spawning.,Unnamed Tributary To Missinka River,BT;RB,NA,NA,"c(-121.911202637054, 54.6180646183997)",236-614900-20900-03300-0000-0000-000-000-000-000-000-000,-121.91120263705382,54.61806461839965
125180,3.8,0,1.3,10,569665,6053046,093I.116,PARS,"Two pipes each at 1.2m in diameter, with one showing an inlet drop. Both pipes are embedded, except for 1 m at the inlet of one pipe, allowing them to function as embedded culverts, resulting in a low priority for replacement. The habitat is high quality, featuring deep pools and gravels. Rainbow trout ranging from 40-140 mm were captured during sampling.. 12:26:48",Tributary To Missinka River,RB,NA,NA,"c(-121.921103757878, 54.6200425439349)",236-614900-20900-00000-0000-0000-000-000-000-000-000-000,-121.92110375787794,54.62004254393486
125231,3.4,0.1,0.4,10,549962,6065137,093J.120,PARS,Culvert replaced with Bridge by C4 in the summer of 2024 with environmental oversight and engineering from DWB. Very nicely designed structure that fits the stream channel well. Minimal rock placement within areas likely to be within the natural channel with not constricting the channel. It is recommended that future projects incorporate vegetated riprap and reinstall the vegetation removed from the construction footprint within the same area.. 15:35:51,Tributary To Table River,RB,NA,NA,"c(-122.224138873254, 54.7310207178196)",236-450800-15400-00000-0000-0000-000-000-000-000-000-000,-122.22413887325403,54.73102071781964
125261,48.3,4.3,14.4,10,534601,6067771,093J.119,PARS,"Reassessed as part of a baseline assessment before hopeful future replacement. Fish sampling was conducted in a 75-meter stretch downstream and a 50-meter stretch upstream of the culvert, and fish 60 mm or greater were tagged with PIT tags. There are baffles made of metal in the culvert and ¾ of the pipe is embedded with streambed material. The outlet of the pipe sits on a large pile of rip rap creating a 30 cm cascade that occurs approximately a meter after the outlet of the pipe.  There are two overflow pipes each at 0.9 m in diameter.        . 15:58:48",Fern Creek,BB;C;CBC;DC;DV;LSU;RB;RSC;SU,NA,NA,"c(-122.462352041432, 54.7559879196144)",236-358400-00000-00000-0000-0000-000-000-000-000-000-000,-122.46235204143169,54.755987919614434
125749,24.4,2.2,8.3,10,374238,6102796,093N.103,NATR,"RB observed u/s. Rhab - G, Shab - G, Ohab - G. Outlet blocked by 200kg boulders apparently to prevent scour. Silt fences placed at road crown do not function - road surface erodes to stream.",Unnamed Tributary To Airline Creek,NA,mod,"Assessed in 2013, see comments.  RB observed us during assessement.  Downstream is primarily wetland and lakes. 8km of BT rearing habitat modelled upstream, and two other CBS ranked as Barrier and potential barrier.","c(-124.968881690114, 55.0560148142686)",237-625800-53700-00000-0000-0000-000-000-000-000-000-000,-124.96888169011437,55.056014814268636
125755,72.8,6.5,22.4,10,359563,6116606,093N.102,NATR,"RB observed throughout. Pipe with baffles. Rhab - G, Shab - L, Ohab - G. Documented BB, RB, CSU, LSU, NSC, RSC.",Glaucers Creek,BB;CC;CSU;LSU;NSC;RB;RB/CT;RSC;SP;SU,high,"Baffles in the culvert. BB;CC;CSU;LSU;NSC;RB;RB/CT;RSC;SP;SU documented upstream.  Several lakes upstream, with no other CBS blocking acess to lakes. ","c(-125.205265104493, 55.1760881294103)",237-671800-00000-00000-0000-0000-000-000-000-000-000-000,-125.20526510449272,55.17608812941025
125825,165.7,12.2,50.3,10,355055,6122848,093N.107,NATR,"Rhab - G, Shab -G, Ohab - G. Large stream. Documented BB, BT, LT, LW, MW, PW, RB, CAS, CSU, LSU, RSC.",Purvis Creek,BB;BT;CAS;CSU;LKC;LSU;LT;LW;MW;PW;RB;RSC;SU,mod,100% backwatered at time of assessment in 2013.  BT documented upstream. 50 km of bt rearing habitat modelled upstream. CBS located upstream ranked as passable.  ,"c(-125.279185270696, 55.2308362938431)",237-673200-00000-00000-0000-0000-000-000-000-000-000-000,-125.27918527069566,55.23083629384312
15200034,9,4.6,6,10,357257,6160917,093N.112,NATR,NA,NA,NA,mod,"Trib to Kwanika Creek.  6km of BT rearing habitat modelled upstream,  with no other CBS upstream.  No fish documented in stream. ","c(-125.26406772593, 55.5732943122839)",237-792500-61000-00000-0000-0000-000-000-000-000-000-000,-125.26406772592988,55.5732943122839
15200337,69.3,15,30,10,406967,6138657,093N.109,NATR,NA,Moosmoos Creek,BB;BT;CCG;RB;SP,mod,"BT captured us of the crossing in 2000. Unsure if this is actaully a crossing, should confirm. ","c(-124.468519053124, 55.3853640395165)",237-528900-48700-00000-0000-0000-000-000-000-000-000-000,-124.46851905312357,55.38536403951652
